Bari, SOM: 2347008
Plateaux, TGO: 56048438
Maritime, TGO: 56048437
Kara, TGO: 56048435
Centre, TGO: 56048436
Savanes, TGO: 56048434
Maradi, NER: 2346327
Zinder, NER: 2346330
FAILED: Dosso, NER
FAILED: Niamey, NER
FAILED: Tahoua, NER
FAILED: Médenine, TUN
FAILED: Kebili, TUN
FAILED: Tataouine, TUN
FAILED: Canillo, ESP
Catalua, ESP: 12578034
FAILED: Tozeur, TUN
FAILED: Manubah, TUN
FAILED: Béja, TUN
FAILED: Ben Arous (Tunis Sud), TUN
FAILED: Bizerte, TUN
FAILED: Jendouba, TUN
FAILED: Nabeul, TUN
FAILED: Tunis, TUN
FAILED: Le Kef, TUN
FAILED: Kassérine, TUN
FAILED: Gabès, TUN
FAILED: Gafsa, TUN
FAILED: Sidi Bou Zid, TUN
FAILED: Sfax, TUN
FAILED: Siliana, TUN
FAILED: Mahdia, TUN
FAILED: Monastir, TUN
FAILED: Kairouan, TUN
FAILED: Sousse, TUN
FAILED: Zaghouan, TUN
FAILED: Pirotski, SRB
Dolj, ROU: 2346631
Gorj, ROU: 2346633
Mehedinti, ROU: 2346639
FAILED: Borski, SRB
Olt, ROU: 2346642
Teleorman, ROU: 2346648
FAILED: Bucharest, ROU
FAILED: Calarasi, ROU
Dmbovita, ROU: 2346630
FAILED: Giurgiu, ROU
Ialomita, ROU: 2346636
FAILED: Constanta, ROU
FAILED: Lattakia (Al Ladhiqiyah), SYR
FAILED: Tartus, SYR
FAILED: Ar Raqqah, SYR
FAILED: Aleppo (Halab), SYR
FAILED: Hamah, SYR
FAILED: Homs (Hims), SYR
FAILED: Idlib, SYR
FAILED: Hasaka (Al Haksa), SYR
FAILED: Dayr Az Zawr, SYR
FAILED: As Suwayda', SYR
FAILED: Damascus, SYR
FAILED: Quneitra, SYR
FAILED: Dar`a, SYR
FAILED: North Bahr-al-Ghazal, SDS
FAILED: Blue Nile, SDN
FAILED: Red Sea, SDN
Sa`dah, YEM: 20070038
FAILED: Al Hudaydah, YEM
FAILED: Al Mahwit, YEM
FAILED: Dhamar, YEM
FAILED: Hajjah, YEM
FAILED: Amran, YEM
FAILED: Ibb, YEM
FAILED: Lahij, YEM
Ta`izz, YEM: 20070041
FAILED: Genève, CHE
Jura, CHE: 2347108
FAILED: Neuchâtel, CHE
Aargau, CHE: 2347083
FAILED: Lucerne, CHE
Nidwalden, CHE: 2347095
Valais, CHE: 2347104
Appenzell Ausserrhoden, CHE: 2347084
FAILED: Sankt Gallen, CHE
Ticino, CHE: 2347102
FAILED: Glarus, CHE
Graubnden, CHE: 2347091
FAILED: Schaffhausen, CHE
FAILED: Schaffhausen, CHE
FAILED: Schwyz, CHE
Thurgau, CHE: 2347101
Uri, CHE: 2347103
FAILED: Zürich, CHE
FAILED: Zug, CHE
Gvleborg, SWE: 2347046
FAILED: Jönköping, SWE
FAILED: Kalmar, SWE
Dalarna, SWE: 2347053
Kronoberg, SWE: 2347055
FAILED: Orebro, SWE
stergtland, SWE: 2347059
Sdermanland, SWE: 2347061
Vstmanland, SWE: 2347066
Halland, SWE: 2347049
Vrmland, SWE: 2347063
Jmtland, SWE: 2347050
Norrbotten, SWE: 2347057
Vsternorrland, SWE: 2347065
Vsterbotten, SWE: 2347064
Gotland, SWE: 2347048
FAILED: Stockholm, SWE
FAILED: Uppsala, SWE
FAILED: alovci, SVN
FAILED: Kuzma, SVN
FAILED: Cerkvenjak, SVN
FAILED: Benedikt, SVN
Sveta Ana, SVN: 55848361
FAILED: Hodo, SVN
FAILED: Grad, SVN
FAILED: Destrnik, SVN
Dobrova-Polhov Gradec, SVN: 55848364
FAILED: Domale, SVN
FAILED: Kamnik, SVN
FAILED: Kocevje, SVN
FAILED: Lenart, SVN
Loka Dolina, SVN: 55848394
FAILED: Luce, SVN
FAILED: Majperk, SVN
FAILED: Novo Mesto, SVN
FAILED: Bistrica ob Sotli, SVN
FAILED: Podvelka, SVN
FAILED: Preddvor, SVN
FAILED: Ptuj, SVN
Ravne na Korokem, SVN: 55848363
FAILED: Ribnica, SVN
Rue, SVN: 28350154
FAILED: entjur pri Celju, SVN
FAILED: Slovenska Bistrica, SVN
Videm, SVN: 55848377
FAILED: Vojnik, SVN
Savinjska, SVN: 55848398
FAILED: Komenda, SVN
FAILED: Oplotnica, SVN
Hajdina, SVN: 55848377
Miklav na Dravskem Polju, SVN: 55848367
Hoce-Slivnica, SVN: 55848367
FAILED: Trnovska Vas, SVN
FAILED: etale, SVN
FAILED: Podlehnik, SVN
FAILED: Prevalje, SVN
FAILED: Selnica ob Dravi, SVN
FAILED: Lovrenc na Pohorju, SVN
FAILED: Trzin, SVN
Jezersko, SVN: 55848358
FAILED: uemberk, SVN
FAILED: Dobrna, SVN
FAILED: Tabor, SVN
FAILED: Vransko, SVN
FAILED: Mirna Pec, SVN
FAILED: Prebold, SVN
FAILED: Polzela, SVN
Kostel, SVN: 55848356
FAILED: Kocevje, SVN
FAILED: Braslovce, SVN
FAILED: Sodraica, SVN
FAILED: Jugovzhodna Slovenija, SVN
FAILED: Horjul, SVN
FAILED: Solcava, SVN
FAILED: Dobje, SVN
Dobrepolje, SVN: 55848349
FAILED: Bloke, SVN
FAILED: Podcetrtek, SVN
FAILED: Maribor, SVN
FAILED: Ribnica na Pohorju, SVN
FAILED: Jesenice, SVN
FAILED: irovnica, SVN
FAILED: Gorika, SVN
FAILED: empeter-Vrtojba, SVN
Blekinge, SWE: 2347045
FAILED: Crenovci, SVN
FAILED: Lendava, SVN
FAILED: Ljutomer, SVN
FAILED: Krievci, SVN
Verej, SVN: 2346293
FAILED: Sveti Andra v Slovenskih Goricah, SVN
Razkrije, SVN: 20069997
FAILED: Velika Polana, SVN
FAILED: Dobrovnik, SVN
FAILED: Markovci, SVN
FAILED: Zapadno-Backi, SRB
FAILED: Severno-Backi, SRB
FAILED: Severno-Banatski, SRB
FAILED: Arad, ROU
Bihor, ROU: 2346619
Caras-Severin, ROU: 2346626
FAILED: Branicevski, SRB
Timis, ROU: 2346649
Sremski, SRB: 12577949
FAILED: Murmansk, RUS
Crimea, UKR: 2347544
FAILED: Mykolayiv, UKR
FAILED: Chernihiv, UKR
FAILED: Rivne, UKR
FAILED: Botosani, ROU
FAILED: Chernivtsi, UKR
FAILED: Ivano-Frankivs'k, UKR
FAILED: Khmel'nyts'kyy, UKR
FAILED: L'viv, UKR
FAILED: Ternopil', UKR
FAILED: Transcarpathia, UKR
Alba, ROU: 2346615
Bistrita-Nasaud, ROU: 2346620
FAILED: Cluj, ROU
FAILED: Hunedoara, ROU
Maramures, ROU: 2346638
Mures, ROU: 2346640
Salaj, ROU: 2346644
FAILED: Satu Mare, ROU
Arges, ROU: 2346617
FAILED: Sibiu, ROU
FAILED: Vâlcea, ROU
FAILED: Brasov, ROU
FAILED: Covasna, ROU
Harghita, ROU: 2346634
FAILED: Iasi, ROU
Neamt, ROU: 2346641
Prahova, ROU: 2346643
FAILED: Suceava, ROU
FAILED: Bacau, ROU
FAILED: Braila, ROU
FAILED: Buzau, ROU
FAILED: Galati, ROU
FAILED: Vaslui, ROU
Vrancea, ROU: 2346653
Volyn, UKR: 2347555
FAILED: Cherkasy, UKR
FAILED: Kirovohrad, UKR
FAILED: Kiev, UKR
FAILED: Odessa, UKR
FAILED: Vinnytsya, UKR
FAILED: Zhytomyr, UKR
FAILED: Sumy, UKR
FAILED: Dnipropetrovs'k, UKR
FAILED: Donets'k, UKR
FAILED: Kharkiv, UKR
FAILED: Luhans'k, UKR
FAILED: Poltava, UKR
FAILED: Zaporizhzhya, UKR
Al Mahrah, YEM: 20070032
Al Bayda', YEM: 20070043
FAILED: Al Dali', YEM
Al Jawf, YEM: 20070039
Shabwah, YEM: 20070034
FAILED: Ma'rib, YEM
FAILED: Ras Al Khaymah, ARE
FAILED: Umm Al Qaywayn, ARE
FAILED: Neutral Zone, ARE
FAILED: Fujayrah, ARE
FAILED: Fujayrah, ARE
FAILED: Neutral Zone, ARE
FAILED: Neutral Zone, ARE
FAILED: Neutral Zone, ARE
Ajman, ARE: 2347110
FAILED: Neutral Zone, ARE
Sharjah, ARE: 2347114
Abu Dhabi, ARE: 2347109
FAILED: Dubay, ARE
FAILED: Balkan, TKM
FAILED: Ahal, TKM
FAILED: Tashauz, TKM
FAILED: Bukhoro, UZB
FAILED: Khorezm, UZB
FAILED: Karakalpakstan, UZB
FAILED: Navoi, UZB
FAILED: Samarkand, UZB
FAILED: Chardzhou, TKM
FAILED: Mary, TKM
Kashkadarya, UZB: 2347664
Surkhandarya, UZB: 2347668
FAILED: Andijon, UZB
FAILED: Ferghana, UZB
FAILED: Namangan, UZB
Gorno-Badakhshan, TJK: 2344549
Khatlon, TJK: 20070295
FAILED: Tadzhikistan Territories, TJK
FAILED: Leninabad, TJK
FAILED: Jizzakh, UZB
FAILED: Sirdaryo, UZB
FAILED: Tashkent, UZB
Rapti, NPL: 20070018
FAILED: Mae Hong Son, THA
FAILED: Chumphon, THA
FAILED: Nakhon Si Thammarat, THA
FAILED: Phuket, THA
FAILED: Phangnga, THA
Ranong, THA: 2347183
FAILED: Surat Thani, THA
Sumatera Utara, IDN: 2345735
FAILED: Krabi, THA
FAILED: Phatthalung, THA
FAILED: Songkhla (Songkhla Lake), THA
FAILED: Satun, THA
FAILED: Songkhla, THA
FAILED: Trang, THA
FAILED: Yala, THA
FAILED: Chiang Rai, THA
FAILED: Chiang Mai, THA
FAILED: Lampang, THA
FAILED: Lamphun, THA
FAILED: Nan, THA
FAILED: Phayao, THA
Phrae, THA: 2347134
FAILED: Phitsanulok, THA
FAILED: Sukhothai, THA
FAILED: Uttaradit, THA
FAILED: Kanchanaburi, THA
FAILED: Kamphaeng Phet, THA
FAILED: Phichit, THA
FAILED: Phetchabun, THA
FAILED: Suphan Buri, THA
FAILED: Tak, THA
FAILED: Uthai Thani, THA
FAILED: Ang Thong, THA
FAILED: Chai Nat, THA
FAILED: Lop Buri, THA
FAILED: Nakhon Nayok, THA
FAILED: Prachin Buri, THA
FAILED: Nakhon Sawan, THA
FAILED: Phra Nakhon Si Ayutthaya, THA
FAILED: Pathum Thani, THA
FAILED: Sing Buri, THA
FAILED: Saraburi, THA
Bangkok Metropolis, THA: 2347165
FAILED: Nonthaburi, THA
FAILED: Nakhon Pathom, THA
FAILED: Phetchaburi, THA
FAILED: Prachuap Khiri Khan, THA
FAILED: Ratchaburi, THA
FAILED: Samut Prakan, THA
FAILED: Samut Sakhon, THA
FAILED: Samut Songkhram, THA
FAILED: Si Sa Ket, THA
FAILED: Ubon Ratchathani, THA
FAILED: Amnat Charoen, THA
FAILED: Yasothon, THA
FAILED: Qu?ng Ninh, VNM
FAILED: Chon Buri, THA
FAILED: Chachoengsao, THA
FAILED: Chanthaburi, THA
FAILED: Sa Kaeo, THA
FAILED: Rayong, THA
FAILED: Trat, THA
FAILED: Buri Ram, THA
FAILED: Chaiyaphum, THA
FAILED: Khon Kaen, THA
FAILED: Kalasin, THA
FAILED: Maha Sarakham, THA
FAILED: Nakhon Ratchasima, THA
FAILED: Roi Et, THA
FAILED: Surin, THA
FAILED: Tây Ninh, VNM
FAILED: Loei, THA
FAILED: Nong Khai, THA
FAILED: Sakon Nakhon, THA
FAILED: Udon Thani, THA
FAILED: Nong Bua Lam Phu, THA
FAILED: Ði?n Biên, VNM
FAILED: Ðông B?c, VNM
FAILED: Thái Nguyên, VNM
FAILED: Lào Cai, VNM
L?ng Son, VNM: 2346289
FAILED: Son La, VNM
FAILED: Thanh Hóa, VNM
FAILED: Tuyên Quang, VNM
FAILED: Yên Bái, VNM
FAILED: Hòa Bình, VNM
FAILED: H?i Duong, VNM
FAILED: Ð?ng B?ng Sông H?ng, VNM
FAILED: Thái Nguyên, VNM
FAILED: B?c Ninh, VNM
FAILED: Vinh Phúc, VNM
FAILED: Hà Tây, VNM
FAILED: Ninh Bình, VNM
FAILED: Hà Nam, VNM
Nam ?nh, VNM: 2347588
Ph Th?, VNM: 2345495
FAILED: B?c Giang, VNM
FAILED: Thái Bình, VNM
FAILED: Nakhon Phanom, THA
FAILED: Mukdahan, THA
FAILED: Ha Tinh, VNM
FAILED: Ngh? An, VNM
FAILED: Qu?ng Bình, VNM
Dak Lak, VNM: 2347720
FAILED: Gia Lai, VNM
FAILED: Khánh Hòa, VNM
FAILED: Lâm Ð?ng, VNM
FAILED: Ninh Thu?n, VNM
FAILED: Phú Yên, VNM
FAILED: Bình Duong, VNM
FAILED: Bình Phu?c, VNM
Bnh ?nh, VNM: 2347588
FAILED: Kon Tum, VNM
FAILED: Quàng Nam, VNM
FAILED: Qu?ng Ngãi, VNM
Qu?ng Tr?, VNM: 7153347
FAILED: Th?a Thiên - Hu?, VNM
FAILED: Ðà N?ng, VNM
Riau, IDN: 2345728
FAILED: Narathiwat, THA
FAILED: Pattani, THA
FAILED: Bà R?a - Vung Tàu, VNM
FAILED: Bình Thu?n, VNM
FAILED: Ðông Nam B?, VNM
FAILED: An Giang, VNM
FAILED: Ð?ng Tháp, VNM
FAILED: Ð?ng Tháp, VNM
FAILED: H? Chí Minh city, VNM
Kin Giang, VNM: 2347723
FAILED: Long An, VNM
FAILED: B?n Tre, VNM
FAILED: d?ng b?ng sông C?u Long, VNM
FAILED: B?c Liêu, VNM
FAILED: Cà Mau, VNM
FAILED: Sóc Trang, VNM
FAILED: Trà Vinh, VNM
FAILED: Vinh Long, VNM
FAILED: Cao B?ng, VNM
FAILED: Hà Giang, VNM
Sulawesi Utara, IDN: 28350156
Luapula, ZMB: 2347808
Northern, ZMB: 2347807
Central, ZMB: 2347805
Copperbelt, ZMB: 2347802
Eastern, ZMB: 2347806
Eastern, ZMB: 2347806
FAILED: Lusaka, ZMB
North-Western, ZMB: 2347801
Southern, ZMB: 2347804
Western, ZMB: 2347803
Mashonaland Central, ZWE: 2347812
FAILED: Harare, ZWE
Matabeleland North, ZWE: 2347815
Midlands, ZWE: 2347811
Mashonaland East, ZWE: 2347813
Manicaland, ZWE: 2347810
Matabeleland South, ZWE: 2347816
FAILED: Bulawayo, ZWE
FAILED: Masvingo, ZWE
Mashonaland West, ZWE: 2347814
Hhohho, SWZ: 20069889
Lubombo, SWZ: 20069891
Manzini, SWZ: 20069892
Shiselweni, SWZ: 20069890
Maluku Utara, IDN: 20069998
Sumatera Barat, IDN: 2345733
Yogyakarta, IDN: 2345719
FAILED: Dili, TLS
FAILED: Liquica, TLS
FAILED: Ambeno, TLS
Aileu, TLS: 7153323
FAILED: Ainaro, TLS
FAILED: Baucau, TLS
FAILED: Bobonaro, TLS
FAILED: Cova Lima, TLS
FAILED: Ermera, TLS
FAILED: Manatuto, TLS
FAILED: Manufahi, TLS
FAILED: Viqueque, TLS
FAILED: Lautem, TLS
Maluku, IDN: 20069997
Nusa Tenggara Barat, IDN: 2345726
Sulawesi Tenggara, IDN: 2345731
Sulawesi Tengah, IDN: 2345730
Papua, IDN: 2345718
Nord, NCL: 24549806
Torba, VUT: 20069883
Sanma, VUT: 20069884
Tafea, VUT: 20069887
Malampa, VUT: 20069886
Penama, VUT: 20069885
Shefa, VUT: 20069888
FAILED: Lambayeque, PER
FAILED: Piura, PER
FAILED: Tumbes, PER
Apurmac, PER: 2346470
FAILED: Arequipa, PER
FAILED: Cusco, PER
Madre de Dios, PER: 2346484
FAILED: Callao, PER
Moquegua, PER: 2346485
FAILED: Tacna, PER
Acre, BRA: 2344844
Ancash, PER: 2346469
FAILED: Cajamarca, PER
FAILED: Huánuco, PER
La Libertad, PER: 2346480
Pasco, PER: 2346486
San Martn, PER: 2346489
Ucayali, PER: 2346492
Amazonas, PER: 2346468
Loreto, PER: 2346483
Ayacucho, PER: 2346472
Lima Province, PER: 2346482
FAILED: Huancavelica, PER
FAILED: Ica, PER
FAILED: Junín, PER
Lima, PER: 2346482
Amazonas, BRA: 2344847
Maranho, BRA: 2344854
Par, BRA: 2344857
Rondnia, BRA: 2344865
Tocantins, BRA: 2344870
Alto Paraguay, PRY: 2346463
Boquern, PRY: 2346450
Distrito Federal, BRA: 2344850
Mato Grosso do Sul, BRA: 2344853
Minas Gerais, BRA: 2344856
Mato Grosso, BRA: 2344855
FAILED: Concepción, PRY
Cordillera, PRY: 2346455
Presidente Hayes, PRY: 2346461
FAILED: San Pedro, PRY
FAILED: Asunción, PRY
Guair, PRY: 2346456
Misiones, PRY: 2346458
eembuc, PRY: 2346459
FAILED: Paraguarí, PRY
FAILED: Rio Grande do Sul, BRA
Paran, BRA: 2344859
Santa Catarina, BRA: 2344867
Amambay, PRY: 2346449
Alto Paran, PRY: 2346448
FAILED: Caaguazú, PRY
FAILED: Caazapá, PRY
Canindey, PRY: 2346464
Itapa, PRY: 2346457
Cear, BRA: 2344849
Piau, BRA: 2344861
Alagoas, BRA: 2344845
Bahia, BRA: 2344848
Esprito Santo, BRA: 2344851
Paraba, BRA: 2344858
FAILED: Rio de Janeiro, BRA
Rio Grande do Norte, BRA: 2344863
Sergipe, BRA: 2344869
Manitoba, CAN: 2344917
Saskatchewan, CAN: 2344925
Alberta, CAN: 2344915
British Columbia, CAN: 2344916
Nunavut, CAN: 20069920
Northwest Territories, CAN: 2344920
Yukon, CAN: 2344926
Atlntida, HND: 2345623
Coln, HND: 2345625
Francisco Morazn, HND: 2345630
Gracias a Dios, HND: 2345631
Islas de la Baha, HND: 2345633
Olancho, HND: 2345637
FAILED: Yoro, HND
Atlntico Sur, NIC: 2346256
Valle, HND: 2345639
FAILED: Comayagua, HND
Corts, HND: 2345628
FAILED: Intibucá, HND
FAILED: La Paz, HND
FAILED: Santa Bárbara, HND
Copn, HND: 2345627
Lempira, HND: 2345635
FAILED: Ocotepeque, HND
Carazo, NIC: 2346418
FAILED: Granada, NIC
FAILED: Jinotega, NIC
FAILED: Atlántico Norte, NIC
FAILED: León, NIC
FAILED: Managua, NIC
FAILED: Masaya, NIC
FAILED: Choluteca, HND
FAILED: El Paraíso, HND
FAILED: Chinandega, NIC
FAILED: Estelí, NIC
Madriz, NIC: 2346425
FAILED: Matagalpa, NIC
Nueva Segovia, NIC: 2346429
FAILED: Boaco, NIC
Chontales, NIC: 2346420
Roraima, BRA: 2344866
Mahaica-Berbice, GUY: 2345608
Potaro-Siparuni, GUY: 2345610
Upper Takutu-Upper Essequibo, GUY: 2345612
Upper Demerara-Berbice, GUY: 2345611
Barima-Waini, GUY: 2345603
Pomeroon-Supenaam, GUY: 2345609
East Berbice-Corentyne, GUY: 2345606
Demerara-Mahaica, GUY: 2345605
Essequibo Islands-West Demerara, GUY: 2345607
Cuyuni-Mazaruni, GUY: 2345604
FAILED: Amapá, BRA
Ontario, CAN: 2344922
Qubec, CAN: 2344924
New Brunswick, CAN: 2344918
Nova Scotia, CAN: 2344921
Newfoundland and Labrador, CAN: 2344919
Prince Edward Island, CAN: 2344923
FAILED: Vestfirðir, ISL
FAILED: Reykhólahreppur, ISL
FAILED: Vestfirðir, ISL
FAILED: Árneshreppur, ISL
FAILED: Vesturbyggð, ISL
FAILED: Ísafjarðarbær, ISL
FAILED: Sveitarfélagið Hornafjörður, ISL
FAILED: Austurland, ISL
FAILED: Austur-Hérað, ISL
FAILED: Norðurland vestra, ISL
FAILED: Akureyri, ISL
FAILED: Akrahreppur, ISL
FAILED: Húnaþing vestra, ISL
FAILED: Kelduneshreppur, ISL
FAILED: Hálshreppur, ISL
FAILED: Biskupstungnahreppur, ISL
FAILED: Suðurnes, ISL
FAILED: Suðurland, ISL
FAILED: Mýrdalshreppur, ISL
FAILED: Akranes, ISL
FAILED: Bæjarhreppur, ISL
FAILED: Höfuðborgarsvæði, ISL
FAILED: Vesturland, ISL
FAILED: Eyja- og Miklaholtshreppur, ISL
FAILED: Louth, IRL
Galway, IRL: 2345255
FAILED: Mayo, IRL
Meath, IRL: 2345265
Offaly, IRL: 2345267
Westmeath, IRL: 2345272
Wexford, IRL: 2345273
Wicklow, IRL: 2345274
Dublin, IRL: 2345254
FAILED: Kildare, IRL
Kilkenny, IRL: 2345258
Laoighis, IRL: 2345260
Tipperary, IRL: 2345270
Kerry, IRL: 2345256
Limerick, IRL: 2345261
Roscommon, IRL: 2345268
Sligo, IRL: 2345269
FAILED: Donegal, IRL
FAILED: Leitrim, IRL
FAILED: Longford, IRL
Regin de Murcia, ESP: 12578025
FAILED: Ceuta, ESP
FAILED: Melilla, ESP
Azores, PRT: 15021776
Madeira, PRT: 2346570
Principado de Asturias, ESP: 12578027
Galicia, ESP: 12578036
FAILED: Aveiro, PRT
FAILED: Leiria, PRT
FAILED: Viana do Castelo, PRT
Extremadura, ESP: 12578035
FAILED: Beja, PRT
FAILED: Évora, PRT
FAILED: Faro, PRT
FAILED: Lisboa, PRT
FAILED: Portalegre, PRT
FAILED: Santarém, PRT
FAILED: Braga, PRT
FAILED: Bragança, PRT
FAILED: Castelo Branco, PRT
FAILED: Coimbra, PRT
FAILED: Guarda, PRT
FAILED: Porto, PRT
FAILED: Viseu, PRT
FAILED: Vila Real, PRT
La Rioja, ESP: 12578023
Pas Vasco, ESP: 12578037
FAILED: Dakar, SEN
Southern, SLE: 2347002
FAILED: Western, SLE
Northern, SLE: 2347001
FAILED: Diourbel, SEN
FAILED: Fatick, SEN
FAILED: Kaolack, SEN
FAILED: Louga, SEN
Matam, SEN: 56055615
FAILED: Thiès, SEN
FAILED: Bissau, GNB
FAILED: Bolama, GNB
FAILED: Cacheu, GNB
Oio, GNB: 2346605
Quinara, GNB: 2346604
FAILED: Kolda, SEN
FAILED: Ziguinchor, SEN
FAILED: Bafatá, GNB
FAILED: Gabú, GNB
Tombali, GNB: 2346608
FAILED: Tambacounda, SEN
FAILED: GrandKru, LBR
Maryland, LBR: 2346107
FAILED: Sinoe, LBR
Bomi, LBR: 2346109
Bong, LBR: 2346099
FAILED: Grand Bassa, LBR
Grand Cape Mount, LBR: 2346106
Lofa, LBR: 2346101
Montserrado, LBR: 2346108
Margibi, LBR: 2346111
Eastern, SLE: 2347000
Nimba, LBR: 2346103
FAILED: River Cess, LBR
FAILED: GrandGedeh, LBR
Basse-Kotto, CAF: 2345090
Lobaye, CAF: 2345095
FAILED: Diffa, NER
West Darfur, SDN: 20069894
Ouest, CMR: 2345036
Sud-Ouest, CMR: 2345037
Agadez, NER: 2346324
Mambr-Kad, CAF: 2345092
Sangha-Mbar, CAF: 2345103
Sud, CMR: 2345042
Nana-Mambr, CAF: 2345097
Ouham-Pend, CAF: 2345100
Bamingui-Bangoran, CAF: 2345089
Nana-Grbizi, CAF: 2345102
Kmo, CAF: 2345094
Ouaka, CAF: 2345098
Ouham, CAF: 2345099
South Darfur, SDN: 20069893
Vakaga, CAF: 2345101
Emilia-Romagna, ITA: 7153334
Liguria, ITA: 7153337
Sardegna, ITA: 7153343
Toscana, ITA: 7153345
Islas Baleares, ESP: 12578039
Basilicata, ITA: 7153331
Calabria, ITA: 7153332
Campania, ITA: 7153333
Molise, ITA: 7153340
Apulia, ITA: 7153342
Sicily, ITA: 7153344
Abruzzo, ITA: 7153350
Lazio, ITA: 7153336
Marche, ITA: 7153339
Umbria, ITA: 7153347
FAILED: Ðakovica, KO-
Moravicki, SRB: 29389210
Niavski, SRB: 2345486
FAILED: Podunavski, SRB
FAILED: Pomoravski, SRB
FAILED: Pomoravski, SRB
Raki, SRB: 7153334
FAILED: Toplicki, SRB
Grad Beograd, SRB: 29389217
FAILED: Kolubarski, SRB
FAILED: Macvanski, SRB
FAILED: umadijski, SRB
FAILED: Kosovska Mitrovica, KO-
FAILED: Pcinjski, SRB
FAILED: Pristina, KO-
Jablanicki, SRB: 29389208
FAILED: Zajecarski, SRB
FAILED: Al Madinah, SAU
FAILED: Al Quassim, SAU
FAILED: Ha'il, SAU
FAILED: Tabuk, SAU
FAILED: Aqaba, JOR
FAILED: Mafraq, JOR
FAILED: Amman, JOR
FAILED: Tafilah, JOR
Ma`an, JOR: 2347580
FAILED: Irbid, JOR
Ajlun, JOR: 20070293
FAILED: Jarash, JOR
FAILED: Balqa, JOR
FAILED: Madaba, JOR
FAILED: Karak, JOR
FAILED: Zarqa, JOR
Al Hudud ash Shamaliyah, SAU: 2346961
FAILED: Al Jawf, SAU
FAILED: Lakes, SDS
FAILED: West Equatoria, SDS
Central Equatoria, SDS: 12578048
Haute-Kotto, CAF: 2345091
Haut-Mbomou, CAF: 2345093
Mbomou, CAF: 2345096
FAILED: Upper Nile, SDS
FAILED: Jungoli, SDS
Unity, SDS: 2347592
FAILED: Warap, SDS
FAILED: West Bahr-al-Ghazal, SDS
FAILED: Khartoum, SDN
FAILED: Gezira, SDN
FAILED: Gedarif, SDN
River Nile, SDN: 2347583
FAILED: Northern, SDN
FAILED: White Nile, SDN
FAILED: Sennar, SDN
North Darfur, SDN: 20069895
FAILED: South Kordufan, SDN
FAILED: North Kordufan, SDN
FAILED: Kassala, SDN
Al Bahah, SAU: 2346949
`Asir, SAU: 2346955
Jizan, SAU: 2346956
Makkah, SAU: 2346959
Eastern, KEN: 2345939
Rift Valley, KEN: 2345943
Western, KEN: 2345944
East Equatoria, SDS: 2345762
North-Eastern, KEN: 2345941
Drenthe, NLD: 2346373
Friesland, NLD: 2346374
Gelderland, NLD: 2346375
FAILED: Groningen, NLD
